#  These OH Night Sky Lines are Observed with NIRSPEC 
#     at High Spectral Resolution (R=25,000)
#
#  Data is organized by columns which list:
#    1. Wavelength (Angstroms in vacuum)
#    2. Relative Strength (from reference below)
#
#  Reference:  Rousselot et al. 2000, A&A, 354, 1154
#
#
#
15781.163 #	9.85E+01
15783.090 #	9.85E+01
15830.354 #	5.57E+02
15833.263 #	5.14E+03
15842.477 #	1.67E+02
15842.530 #	1.67E+02
15848.027 #	1.83E+03
15848.095 #	1.83E+03
15869.235 #	5.94E+02
15869.379 #	5.94E+02
15972.455 #	1.14E+03
16128.294 #	4.03E+03
16128.923 #	4.03E+03
16194.544 #	1.10E+03
16234.899 #	2.68E+03
16315.279 #	4.63E+01
16441.965 #	1.48E+03
16447.252 #	2.39E+02
16447.980 #	2.39E+02
16475.648 #	4.70E+02
16477.318 #	4.70E+02
16479.059 #	6.08E+02
16502.244 #	1.80E+03
16553.723 #	6.47E+02
16585.797 #	7.24E+01
16586.848 #	7.24E+01
16609.994 #	1.33E+02
16612.053 #	1.33E+02
16840.326 #	1.04E+03
16903.502 #	3.48E+03
16955.012 #	1.33E+03
17008.426 #	3.77E+03
17009.088 #	3.77E+03
17210.109 #	5.97E+02
17247.926 #	1.30E+03
17249.320 #	1.30E+03
17282.584 #	2.73E+02
17330.621 #	6.83E+02
17350.779 #	2.52E+02
17351.525 #	2.52E+02
17359.586 #	3.11E+02
17382.906 #	5.00E+02
17384.705 #	5.00E+02
17386.504 #	1.26E+03
17528.254 #	1.49E+02
17530.475 #	1.49E+02
17649.828 #	4.10E+02
17653.211 #	3.82E+03
17664.840 #	1.25E+02
17664.922 #	1.25E+02
17671.770 #	1.43E+03
17671.854 #	1.43E+03
17684.160 #	3.51E+01
17686.826 #	3.51E+01
17698.533 #	4.97E+02
17733.299 #	1.51E+02
17811.307 #	8.42E+02
17819.490 #	1.57E-05
17823.338 #	1.57E-05
17829.367 #	8.55E+00
17835.564 #	2.25E-05
17850.875 #	6.54E+00
17854.008 #	6.54E+00
17880.480 #	2.84E+03
17994.305 #	3.15E+03
18067.883 #	9.02E+02
18117.965 #	2.24E+03
18119.023 #	2.24E+03
18210.805 #	5.32E+02
18217.973 #	1.15E-01
18232.811 #	2.64E-04
18253.479 #	1.17E+03
18254.949 #	1.17E+03
18269.844 #	2.52E-08
18274.621 #	2.52E-08
18278.893 #	3.54E-08
18295.107 #	1.08E+01
18433.438 #	2.47E+02
18459.773 #	9.70E+02
18513.906 #	7.37E-10
18525.947 #	1.11E+03
18526.188 #	1.11E+03
18558.971 #	1.51E+02
18558.971 #	1.51E+02
18561.348 #	1.51E+02
18587.232 #	3.97E+02
18618.891 #	5.73E-04
18637.916 #	8.44E-04
18744.527 #	2.83E+03
18765.836 #	1.08E+03
18914.650 #	6.24E+02
19048.342 #	8.32E+02
19085.828 #	7.86E-01
19091.891 #	1.88E-06
19111.457 #	1.26E+00
19193.496 #	7.04E+02
19349.914 #	4.34E+02
19399.959 #	9.69E+02
19510.525 #	6.42E-01
19513.697 #	3.55E+00
19518.051 #	2.04E+02
19518.828 #	2.04E+02
19523.703 #	1.18E-02
19528.408 #	1.60E+01
19528.822 #	1.60E+01
19538.100 #	3.11E-05
19555.104 #	5.84E+01
19555.590 #	5.84E+01
19560.004 #	4.14E+02
19562.061 #	4.14E+02
19573.514 #	3.10E+01
19593.170 #	1.70E+02
19618.494 #	8.38E+01
19642.236 #	3.89E+02
19677.859 #	1.75E+02
19698.348 #	7.46E+01
19699.527 #	7.46E+01
19701.898 #	6.68E+02
19734.920 #	1.41E+02
19737.500 #	1.41E+02
19751.486 #	2.69E+02
19758.057 #	1.05E-03
19771.744 #	7.44E+02
19774.061 #	1.55E-03
19780.072 #	1.55E-03
19839.643 #	2.67E+02
19923.512 #	3.84E+01
19926.654 #	3.84E+01
20004.971 #	2.00E+02
20005.059 #	2.00E+02
20008.148 #	1.89E+03
20024.758 #	6.28E+01
20033.158 #	7.39E+02
20068.877 #	2.76E+02
20097.691 #	5.01E+00
20099.766 #	5.01E+00
20116.184 #	9.18E+01
20126.219 #	8.46E+00
20193.020 #	4.19E+02
20193.434 #	4.19E+02
20276.033 #	1.42E+03
20278.326 #	4.55E-06
20283.607 #	4.55E-06
20291.826 #	6.52E-06
20299.533 #	6.52E-06
20318.027 #	9.35E-01
20320.600 #	9.35E-01
20339.371 #	5.71E+02
20343.553 #	1.52E+00
20347.959 #	1.52E+00
20412.305 #	1.66E+03
20499.357 #	5.01E+02
20553.090 #	1.42E-01
20562.953 #	1.27E+03
20564.143 #	1.27E+03
20576.113 #	2.22E-01
20581.236 #	2.22E-01
20672.668 #	3.23E+02
20728.170 #	7.30E+02
20729.859 #	7.30E+02
20803.672 #	1.75E-02
20807.363 #	1.75E-02
20824.588 #	2.67E-02
20830.494 #	2.67E-02
20859.871 #	1.60E+02
20908.451 #	3.30E+02
20910.686 #	3.30E+02
21012.408 #	1.15E+01
21025.848 #	6.45E+00
21033.090 #	3.96E+01
21053.072 #	2.09E+01
21061.498 #	6.29E+01
21062.689 #	6.29E+01
21067.729 #	1.10E+02
21068.141 #	1.10E+02
21070.635 #	1.77E-03
21074.732 #	1.09E-02
21089.760 #	2.64E-03
21096.316 #	5.41E+01
21096.527 #	2.64E-03
21104.275 #	1.20E+02
21107.104 #	1.20E+02
21115.652 #	2.42E+02
21156.307 #	1.09E+02
21176.387 #	4.03E+02
21232.354 #	1.63E+02
21232.494 #	1.63E+02
21249.480 #	4.39E+02
21278.219 #	1.97E+01
21279.893 #	1.97E+01
21316.180 #	3.54E+01
21319.652 #	3.54E+01
21325.914 #	1.58E+02
21354.938 #	1.48E-04
21359.967 #	1.48E-04
21372.520 #	2.17E-04
21380.238 #	2.17E-04
21504.980 #	1.18E+02
21505.109 #	1.18E+02
21507.291 #	1.12E+03
21510.805 #	4.99E+00
21513.006 #	4.99E+00
21537.586 #	4.49E+02
21580.498 #	1.74E+02
21580.787 #	1.74E+02
21673.873 #	1.48E-05
21682.646 #	1.48E-05
21710.932 #	2.51E+02
21711.408 #	2.51E+02
21760.121 #	1.03E+00
21762.900 #	1.03E+00
21790.783 #	1.69E+00
21795.719 #	1.69E+00
21802.111 #	8.56E+02
21873.348 #	3.51E+02
21956.035 #	1.03E+03
21979.910 #	5.93E-07
22004.910 #	8.42E-07
22027.121 #	1.75E-01
22030.539 #	1.75E-01
22052.320 #	3.20E+02
22055.023 #	2.76E-01
22060.797 #	2.76E-01
22124.875 #	8.20E+02
22126.160 #	8.20E+02
22247.682 #	2.17E+02
22274.561 #	1.30E-03
22311.799 #	4.96E+02
22313.650 #	4.96E+02
22316.988 #	2.43E-02
22338.455 #	3.73E-02
22338.455 #	3.73E-02
22345.152 #	3.73E-02
22460.602 #	1.14E+02
22516.727 #	2.39E+02
22519.211 #	2.39E+02
22618.535 #	2.81E-03
22623.441 #	2.81E-03
22642.170 #	4.22E-03
22649.895 #	4.22E-03
22690.982 #	4.81E+01
22740.375 #	9.32E+01
22743.555 #	9.32E+01
22938.246 #	1.64E+01
22939.947 #	1.64E+01
22967.426 #	3.98E-04
22976.295 #	3.98E-04
22983.535 #	2.98E+01
22987.475 #	2.98E+01
23206.219 #	4.56E+00
23208.521 #	4.56E+00
23247.104 #	7.87E+00
23251.873 #	7.87E+00
23325.809 #	3.17E-05
23809.344 #	1.98E-01
23839.762 #	3.17E-01
23846.436 #	3.17E-01
