#Table 3 H2 lines from Black and van Dishoeck (1987), 3rd column is the relative flux from Model 14
0.8894	5-2 S(5)	0.14
0.8889	5-2 S(9)	0.07
0.8862	5-2 S(6)	0.05
0.8851	5-2 S(7)	0.09
0.8789	4-1 S(0)	0.08
0.8660	4-1 S(1)	0.19
0.8650	8-4 Q(1)	0.07
0.8550	4-1 S(2)	0.11
0.8497490	3-0 Q(1)	0.06
0.8459	4-1 S(3)	0.17
0.8392	8-4 S(1)	0.09
0.8388	4-1 S(4)	0.07
0.8335	4-1 S(5)	0.11
0.8329	8-4 S(2)	0.05
0.8304	4-1 S(9)	0.06
0.8287	8-4 S(3)	0.08
0.8284	4-1 S(7)	0.08
0.8266	8-4 S(5)	0.06
0.8150680	3-0 S(1)	0.10
0.8046445	3-0 S(2)	0.06
0.8009	7-3 Q(1)	0.05
0.7960	3-0 S(3)	0.09
0.7838	3-0 S(5)	0.06
0.7769	7-3 S(1)	0.08
0.7663	7-3 S(3)	0.08
0.7629	7-3 S(5)	0.06
0.7238	6-2 S(1)	0.06
0.7134	6-2 S(3)	0.06
